Ano, Mes, Dia, Hora, U, V, UI
1967,1,29,12,6.4226,13.956,-3611.8
1967,1,29,18,2.1114,12.081,-2495.9
1967,1,30,0,1.8534,8.0536,-1121.2
1967,1,30,6,2.0741,5.2339,-496.37
1967,1,30,12,2.9737,1.8764,-111.14
1967,1,30,18,-0.061147,3.2223,-174.94
1967,1,31,0,-0.10191,5.3706,-485.96
1967,1,31,6,-3.8326,-0.66709,43.716
1967,1,31,12,-2.8142,-1.4738,78.867
1967,1,31,18,-3.4728,-2.0101,135.87
1967,2,1,0,-2.7158,2.1512,-125.55
1967,2,1,6,-4.8714,1.2137,-102.64
1967,2,1,12,-3.1741,-0.13077,6.998
1967,2,1,18,-4.1517,-1.4723,109.25
1967,2,2,0,-3.4931,-0.93599,57.02
1967,2,2,6,-2.1352,-2.0116,99.405
1967,2,2,12,-1.8162,-1.2064,44.307
1967,2,2,18,-1.6566,-0.80374,24.93
1967,2,3,0,-5.8899,2.0204,-211.92
1967,2,3,6,-4.352,0.27331,-20.076
1967,2,3,12,-4.6711,-0.53191,42.125
1967,2,3,18,-6.4873,-1.7383,196.66
1967,2,4,0,-3.6899,-8.1859,1238.2
1967,2,4,6,-5.8287,-1.2019,120.5
1967,2,4,12,-8.1439,-2.542,365.32
1967,2,4,18,-6.4465,-3.8865,492.82
1967,2,5,0,-6.4465,-3.8865,492.82
1967,2,5,6,-6.8879,1.753,-209.88
1967,2,5,12,-3.7307,-6.0376,721.84
1967,2,5,18,-7.285,-3.7513,517.8
1967,2,6,0,-12.116,-4.6858,1025.4
1967,2,6,6,-8.0047,-1.0653,144.91
1967,2,6,12,-7.0847,-5.4969,830.33
1967,2,6,18,-8.0827,-5.7643,964
1967,2,7,0,-9.0028,-1.3327,204.32
1967,2,7,6,-10.7,0.011766,-2.1208
1967,2,7,12,-10.7,0.011766,-2.1208
1967,2,7,18,-9.5018,-1.4664,237.5
1967,2,8,0,-9.5833,2.83,-476.37
1967,2,8,6,-9.5833,2.83,-476.37
1967,2,8,12,-6.8268,-1.4694,172.85
1967,2,8,18,-6.528,0.40996,-45.171
1967,2,9,0,-10.782,4.3082,-842.62
1967,2,9,6,-7.5261,0.14254,-18.074
1967,2,9,12,-9.2031,0.4129,-64.077
1967,2,9,18,-6.9863,-1.872,228.08
1967,2,10,0,-10.541,0.41437,-73.633
1967,2,10,6,-9.4442,4.3067,-753.04
1967,2,10,12,-5.8287,-1.2019,120.5
1967,2,10,18,-5.8287,-1.2019,120.5
1967,2,11,0,-5.452,5.3764,-693.49
1967,2,11,6,-0.76048,4.8342,-398.52
1967,2,11,12,-2.4375,5.1046,-486.41
1967,2,11,18,-1.419,4.2979,-327.69
1967,2,12,0,-1.7789,5.6409,-562.04
1967,2,12,6,-5.4724,6.4505,-919.18
1967,2,12,12,-5.5911,3.8997,-447.81
1967,2,12,18,-9.5833,2.83,-476.37
1967,2,13,0,-13.277,3.6396,-844.05
1967,2,13,6,-7.207,0.94775,-116.05
1967,2,13,12,-3.0145,0.27184,-13.86
1967,2,13,18,-2.6547,-1.0712,51.654
1967,2,14,0,-1.3375,0.0014707,-0.033137
1967,2,14,6,-2.2168,2.2849,-122.53
1967,2,14,12,2.0537,6.308,-704.93
1967,2,14,18,5.4246,13.689,-3395.3
1967,2,15,0,15.25,15.745,-5813.9
1967,2,15,6,18.225,7.8342,-2618
1967,2,15,12,14.173,1.9983,-481.82
1967,2,15,18,9.719,7.6422,-1591.7
1967,2,16,0,9.2616,13.241,-3604.4
1967,2,16,6,15.955,-2.0583,557.8
1967,2,16,12,13.056,-0.81992,180.69
1967,2,16,18,10.021,0.52603,-88.921
1967,2,17,0,19.9,8.5708,-3128.3
1967,2,17,6,19.686,14.559,-6005
1967,2,17,12,24.001,2.1486,-872.17
1967,2,17,18,15.731,-0.82286,218.35
1967,2,18,0,9.3219,2.1379,-344.44
1967,2,18,6,10.578,6.4329,-1341.6
1967,2,18,12,13.691,9.786,-2774.2
1967,2,18,18,13.49,11.532,-3447.5
1967,2,19,0,16.844,10.991,-3723.9
1967,2,19,6,18.182,10.989,-3932.9
1967,2,19,12,17.724,8.7075,-2896.5
1967,2,19,18,12.194,9.3849,-2432.6
1967,2,20,0,13.891,8.0404,-2173.9
1967,2,20,6,13.192,9.6523,-2657.8
1967,2,20,12,12.693,9.5186,-2543.9
1967,2,20,18,12.034,8.9823,-2272.2
1967,2,21,0,11.175,10.192,-2596.6
1967,2,21,6,6.5449,7.5114,-1260.6
1967,2,21,12,5.2278,6.4388,-899.58
1967,2,21,18,5.7879,3.3502,-377.41
1967,2,22,0,2.7734,3.622,-278.34
1967,2,22,6,1.0149,8.1888,-1138.2
1967,2,22,12,1.0557,6.0406,-623.98
1967,2,22,18,4.3893,6.574,-875.37
1967,2,23,0,7.3054,2.6772,-350.89
1967,2,23,6,-0.20031,1.7456,-51.668
1967,2,23,12,-0.67895,0.53779,-7.8466
1967,2,23,18,-3.0145,0.27184,-13.86
1967,2,24,0,-0.10191,5.3706,-485.96
1967,2,24,6,2.9702,10.872,-2064.1
1967,2,24,12,10.058,7.3733,-1549
1967,2,24,18,9.2199,7.5085,-1504
1967,2,25,0,7.0643,6.571,-1067.9
1967,2,25,6,9.5594,7.2396,-1462.4
1967,2,25,12,9.2607,5.3603,-966.18
1967,2,25,18,9.4203,5.7629,-1072
1967,2,26,0,6.6264,3.215,-398.88
1967,2,26,6,0.78086,-5.9083,593.16
1967,2,26,12,-0.33596,-8.7266,1283.8
1967,2,26,18,0.14268,-7.5188,952.48
1967,2,27,0,0.97766,1.3415,-37.513
1967,2,27,6,3.2317,5.9039,-669.38
1967,2,27,12,7.4038,6.3021,-1032.2
1967,2,27,18,10.418,6.0303,-1222.8
1967,2,28,0,8.1235,3.6161,-541.66
1967,2,28,6,5.7676,4.4243,-541.75
1967,2,28,12,6.287,3.4839,-421.83
1967,2,28,18,6.287,3.4839,-421.83
1967,3,1,0,5.7268,6.5725,-965.17
1967,3,1,6,8.8025,3.0783,-483.56
1967,3,1,12,5.53,-0.67739,63.574
1967,3,1,18,1.8773,-2.016,93.55
1967,3,2,0,-0.65857,-0.53632,7.6732
1967,3,2,6,-3.6935,0.80963,-51.569
1967,3,2,12,-3.9514,-3.2179,276.24
1967,3,2,18,-4.6507,-1.606,133.11
1967,3,3,0,-7.706,0.81404,-106.26
1967,3,3,6,-8.8636,0.14401,-21.505
1967,3,3,12,-6.3889,1.8867,-211.72
1967,3,3,18,-6.0698,2.6919,-301.09
1967,3,4,0,-3.4355,4.8372,-483.45
1967,3,4,6,-2.9161,3.8968,-319.49
1967,3,4,12,-3.0757,3.4942,-274
1967,3,4,18,-2.3967,2.9564,-189.54
1967,3,5,0,0.35986,-1.343,31.455
1967,3,5,6,-2.7734,-3.622,278.34
1967,3,5,12,-1.0557,-6.0406,623.98
1967,3,5,18,-3.432,-4.1583,377.68
1967,3,6,0,-2.7734,-3.622,278.34
1967,3,6,6,-4.3113,-1.8749,148.48
1967,3,6,12,-2.434,-3.8909,300.81
1967,3,6,18,-1.1576,-0.67003,15.097
1967,3,7,0,0.7162,6.3095,-674.92
1967,3,7,6,3.5712,5.635,-633.28
1967,3,7,12,8.2219,7.2411,-1336.4
1967,3,7,18,9.4406,4.6888,-832.56
1967,3,8,0,4.189,8.3196,-1305.4
1967,3,8,6,11.274,13.816,-4150.4
1967,3,8,12,10.485,14.865,-4554.9
1967,3,8,18,14.228,-0.90177,216.57
1967,3,9,0,9.546,-4.3874,776.47
1967,3,9,6,9.0435,-0.81551,124.74
1967,3,9,12,8.9451,-4.4405,747.01
1967,3,9,18,9.5222,0.39231,-62.982
1967,3,10,0,12.594,5.8936,-1380.5
1967,3,10,6,8.3814,7.6437,-1460.6
1967,3,10,12,8.9009,6.7033,-1258.2
1967,3,10,18,10.238,6.7018,-1381.5
1967,3,11,0,8.6429,2.6757,-407.81
1967,3,11,6,5.4485,3.6191,-398.76
1967,3,11,12,4.3316,0.8008,-59.424
1967,3,11,18,1.2968,2.1468,-90.697
1967,3,12,0,4.7695,4.1568,-443.02
1967,3,12,6,7.543,7.7788,-1419.9
1967,3,12,12,8.8432,0.9301,-139.32
1967,3,12,18,-0.078016,-4.6991,372.02
1967,3,13,0,-2.0945,-4.1598,326.36
1967,3,13,6,-3.5915,-4.5609,446.02
1967,3,13,12,-6.7248,-6.8399,1105.2
1967,3,13,18,-7.8824,-7.51,1377.3
1967,3,14,0,-12.737,1.6251,-351.52
1967,3,14,6,-8.7244,1.6207,-242.27
1967,3,14,12,-9.1215,-3.8835,648.56
1967,3,14,18,-5.3093,-2.1423,206.62
1967,3,15,0,-3.0145,0.27184,-13.86
1967,3,15,6,-5.2109,1.4826,-135.31
1967,3,15,12,-3.9718,-2.1438,163
1967,3,15,18,-3.9514,-3.2179,276.24
1967,3,16,0,-9.0028,-1.3327,204.32
1967,3,16,6,-7.8248,-1.7368,234.5
1967,3,16,12,-5.9271,-4.8269,621.53
1967,3,16,18,-6.6468,-2.1409,251.84
1967,3,17,0,-10.16,-2.0027,349.38
1967,3,17,6,-6.8675,0.67886,-78.917
1967,3,17,12,-7.0067,-0.79786,94.781
1967,3,17,18,-4.61,-3.7542,375.99
1967,3,18,0,-9.0231,-0.2586,39.323
1967,3,18,6,-7.1255,-3.3487,444.12
1967,3,18,12,-4.7695,-4.1568,443.02
1967,3,18,18,-6.1851,-8.8544,1611
1967,3,19,0,-8.3407,-9.7919,2121.7
1967,3,19,6,-11.715,-8.177,1967.9
1967,3,19,12,-10.496,-10.729,2712.9
1967,3,19,18,-12.055,-7.9081,1920.6
1967,3,20,0,-16.21,-0.38496,105.15
1967,3,20,6,-11.837,-1.7324,349.12
1967,3,20,12,-8.6225,-3.7498,593.94
1967,3,20,18,-8.2831,-4.0187,623.25
1967,3,21,0,-10.561,1.4885,-267.42
1967,3,21,6,-7.3665,0.54514,-67.833
1967,3,21,12,-6.3277,-1.3357,145.51
1967,3,21,18,-2.1149,-3.0857,194.45
1967,3,22,0,-8.385,1.3518,-193.41
1967,3,22,6,-8.8636,0.14401,-21.505
1967,3,22,12,-6.1478,-2.0072,218.66
1967,3,22,18,-6.786,-3.6176,468.63
1967,3,23,0,-8.1847,-0.39378,54.355
1967,3,23,6,-8.5037,-1.199,173.45
1967,3,23,12,-7.1051,-4.4228,623.54
1967,3,23,18,-5.109,-3.888,420.48
1967,3,24,0,-7.5465,1.2166,-156.66
1967,3,24,6,-5.3908,2.1541,-210.66
1967,3,24,12,-1.9349,-3.7572,267.48
1967,3,24,18,-0.098399,-3.6249,221.43
1967,3,25,0,0.6178,2.6845,-124.57
1967,3,25,6,4.9902,1.3371,-116.37
1967,3,25,12,7.8044,2.8109,-392.78
1967,3,25,18,7.6449,2.4083,-325.17
1967,3,26,0,7.3665,-0.54514,67.833
1967,3,26,6,5.8695,-0.94628,94.771
1967,3,26,12,6.0698,-2.6919,301.09
1967,3,26,18,6.3481,0.26154,-27.992
1967,3,27,0,7.4242,5.228,-799.68
1967,3,27,6,12.394,7.6393,-1873.6
1967,3,27,12,12.275,5.0884,-1139
1967,3,27,18,7.6449,2.4083,-325.17
1967,3,28,0,13.694,0.79051,-182.66
1967,3,28,6,5.5504,-1.7515,171.72
1967,3,28,12,6.3889,-1.8867,211.72
1967,3,28,18,6.0902,-3.766,454.26
1967,3,29,0,3.9549,-5.7776,681.43
1967,3,29,6,4.4336,-4.5698,490.13
1967,3,29,12,5.6319,-6.0479,841.95
1967,3,29,18,3.4151,-3.7631,322.13
1967,3,30,0,4.274,-4.9724,549.21
1967,3,30,6,4.274,-4.9724,549.21
1967,3,30,12,3.5747,-3.3605,277.73
1967,3,30,18,1.4394,-5.372,503.29
1967,3,31,0,10.962,-4.9797,1010
1967,3,31,6,-0.13916,-1.4767,36.898
1967,3,31,12,0.38024,-2.4171,99.629
1967,3,31,18,-1.2152,-6.4432,711.66
1967,4,1,0,-1.9757,-1.609,69.059
1967,4,1,6,-2.8346,-0.39967,19.273
1967,4,1,12,0.17993,-0.6715,7.8638
1967,4,1,18,-1.9757,-1.609,69.059
1967,4,2,0,0.75697,4.1613,-296.48
1967,4,2,6,3.3709,7.3807,-1008.8
1967,4,2,12,4.5692,5.9025,-742.18
1967,4,2,18,0.99804,0.26742,-4.6547
1967,4,3,0,-0.85888,1.2093,-30.216
1967,4,3,6,-2.855,0.67444,-33.329
1967,4,3,12,-3.6527,-1.3386,87.722
1967,4,3,18,-5.109,-3.888,420.48
1967,4,4,0,-7.5057,-0.93157,118.69
1967,4,4,6,-9.1827,-0.66121,102.54
1967,4,4,12,-10.799,-3.6132,693.07
1967,4,4,18,-10.3,-3.4795,637.2
1967,4,5,0,-12.537,-0.12048,25.444
1967,4,5,6,-12.516,-1.1946,253.01
1967,4,5,12,-7.9028,-6.4358,1104.9
1967,4,5,18,-9.96,-3.7484,671.97
1967,4,6,0,-7.964,-3.2135,464.89
1967,4,6,6,-8.8432,-0.9301,139.32
1967,4,6,12,-8.1439,-2.542,365.32
1967,4,6,18,-9.96,-3.7484,671.97
1967,4,7,0,-8.0624,-6.8384,1217.9
1967,4,7,6,-8.3034,-2.9446,437.01
1967,4,7,12,-6.4465,-3.8865,492.82
1967,4,7,18,-5.7383,-7.7271,1252.8
1967,4,8,0,-5.2827,-8.8286,1530.1
1967,4,8,6,-1.6554,-14.082,3363.6
1967,4,8,12,0.24459,-12.889,2799.1
1967,4,8,18,1.341,-8.997,1378.6
1967,4,9,0,1.1,-5.1031,448.76
1967,4,9,6,4.1552,-7.5232,1089.2
1967,4,9,12,3.4355,-4.8372,483.45
1967,4,9,18,3.5951,-4.4346,426.46
1967,4,10,0,5.3908,-2.1541,210.66
1967,4,10,6,4.9902,1.3371,-116.37
1967,4,10,12,2.1556,0.93746,-37.121
1967,4,10,18,1.0388,-1.8808,68.074
1967,4,11,0,0.020382,-1.0741,19.438
1967,4,11,6,-0.29871,-1.8793,60.243
1967,4,11,12,-1.4155,-4.6976,388.24
1967,4,11,18,-2.7327,-5.7702,620.59
1967,4,12,0,-2.434,-3.8909,300.81
1967,4,12,6,-7.784,-3.885,569.35
1967,4,12,12,-4.3485,-8.7222,1432
1967,4,12,18,-5.3262,-10.064,1930.3
1967,4,13,0,-7.0439,-7.6451,1338.8
1967,4,13,6,-7.7229,-7.1073,1256.6
1967,4,13,12,-7.9028,-6.4358,1104.9
1967,4,13,18,-9.0604,-7.1059,1378.3
1967,4,14,0,-8.2627,-5.0928,832.7
1967,4,14,6,-8.2831,-4.0187,623.25
1967,4,14,12,-8.2831,-4.0187,623.25
1967,4,14,18,-7.6041,-4.5565,680.43
1967,4,15,0,-8.9416,-4.555,770
1967,4,15,6,-10.5,-1.7338,310.83
1967,4,15,12,-11.416,-6.2977,1383.2
1967,4,15,18,-11.576,-6.7003,1509.7
1967,4,16,0,-11.257,-5.8951,1261.9
1967,4,16,6,-13.314,-3.2076,739.99
1967,4,16,12,-10.7,0.011766,-2.1208
1967,4,16,18,-13.375,0.014707,-3.3137
1967,4,17,0,-9.0231,-0.2586,39.323
1967,4,17,6,-6.0086,-0.53044,53.899
1967,4,17,12,-3.931,-4.292,420.81
1967,4,17,18,-4.0906,-4.6946,492.43
1967,4,18,0,-4.1721,-0.3982,28.113
1967,4,18,6,-4.1721,-0.3982,28.113
1967,4,18,12,-4.61,-3.7542,375.99
1967,4,18,18,-4.9494,-3.4853,355.41
1967,4,19,0,-7.9843,-2.1394,297.9
1967,4,19,6,-10.34,-1.3312,233.8
1967,4,19,12,-7.6449,-2.4083,325.17
1967,4,19,18,-6.287,-3.4839,421.83
1967,4,20,0,-6.6876,0.0073536,-0.82842
1967,4,20,6,-4.9698,-2.4112,224.37
1967,4,20,12,-3.9106,-5.3661,600.22
1967,4,20,18,-3.2113,-6.978,902.95
1967,4,21,0,-4.2705,-4.0231,397.62
1967,4,21,6,-4.8679,-7.7818,1203.2
1967,4,21,12,-8.541,-8.0463,1590.5
1967,4,21,18,-8.3203,-10.866,2505.1
1967,4,22,0,-10.218,-7.7759,1681.9
1967,4,22,6,-6.4057,-6.0347,894.65
1967,4,22,12,-4.5284,-8.0507,1252.7
1967,4,22,18,-4.0294,-7.917,1184.7
1967,4,23,0,-5.7472,-5.4984,736.7
1967,4,23,6,-3.5915,-4.5609,446.02
1967,4,23,12,-0.37673,-6.5784,730.18
1967,4,23,18,-2.3728,-7.1132,898.52
1967,4,24,0,-2.7531,-4.6961,430.63
1967,4,24,6,-3.4524,-3.0842,240.52
1967,4,24,12,-2.5731,-5.3676,538.22
1967,4,24,18,-3.9106,-5.3661,600.22
1967,4,25,0,-3.5915,-4.5609,446.02
1967,4,25,6,-2.254,-4.5624,391.1
1967,4,25,12,-4.7084,-7.3792,1088.1
